Symbol,price,size,timestamp,exchange,conditions,id,tape
ASH,21.936459909228653,100,2,2,2,2,2
ASH,21.936459909228653,106,2,2,2,2,2
ASH,22.087745839636987,5,2,2,2,2,2
ASH,22.087745839636987,100,4,4,4,4,4
ASH,22.10590015128618,100,4,4,4,4,4
ASH,22.239031770045752,1,13,13,13,13,13
ASH,22.239031770045752,2,2,2,2,2,2
ASH,22.239031770045752,3,7,7,7,7,7
ASH,22.239031770045752,5,7,7,7,7,7
ASH,22.239031770045752,6,2,2,2,2,2
ASH,22.239031770045752,7,2,2,2,2,2
ASH,22.239031770045752,10,6,6,6,6,6
ASH,22.239031770045752,18,1,1,1,1,1
ASH,22.239031770045752,20,2,2,2,2,2
ASH,22.239031770045752,21,2,2,2,2,2
ASH,22.239031770045752,58,2,2,2,2,2
ASH,22.239031770045752,79,2,2,2,2,2
ASH,22.239031770045752,82,1,1,1,1,1
ASH,22.239031770045752,95,2,2,2,2,2
ASH,22.239031770045752,100,19,19,19,19,19
ASH,22.390317700454087,3,2,2,2,2,2
ASH,22.390317700454087,16,1,1,1,1,1
ASH,22.390317700454087,100,1,1,1,1,1
ASH,22.459909228441717,11,2,2,2,2,2
ASH,22.49924357034793,16,2,2,2,2,2
ASH,22.54160363086242,1,30,30,30,30,30
ASH,22.54160363086242,2,4,4,4,4,4
ASH,22.54160363086242,3,8,8,8,8,8
ASH,22.54160363086242,4,2,2,2,2,2
ASH,22.54160363086242,5,2,2,2,2,2
ASH,22.54160363086242,6,4,4,4,4,4
ASH,22.54160363086242,7,2,2,2,2,2
ASH,22.54160363086242,8,2,2,2,2,2
ASH,22.54160363086242,9,4,4,4,4,4
ASH,22.54160363086242,12,2,2,2,2,2
ASH,22.54160363086242,15,4,4,4,4,4
ASH,22.54160363086242,19,4,4,4,4,4
ASH,22.54160363086242,20,4,4,4,4,4
ASH,22.54160363086242,25,4,4,4,4,4
ASH,22.54160363086242,27,2,2,2,2,2
ASH,22.54160363086242,30,8,8,8,8,8
ASH,22.54160363086242,32,2,2,2,2,2
ASH,22.54160363086242,34,2,2,2,2,2
ASH,22.54160363086242,44,2,2,2,2,2
ASH,22.54160363086242,45,2,2,2,2,2
ASH,22.54160363086242,70,2,2,2,2,2
ASH,22.54160363086242,81,2,2,2,2,2
ASH,22.54160363086242,89,2,2,2,2,2
ASH,22.54160363086242,99,2,2,2,2,2
ASH,22.54160363086242,100,20,20,20,20,20
ASH,22.54160363086242,107,2,2,2,2,2
ASH,22.54160363086242,200,2,2,2,2,2
ASH,22.692889561270757,10,2,2,2,2,2
ASH,22.756429652042705,100,2,2,2,2,2
ASH,22.841149773071248,54,2,2,2,2,2
ASH,22.84417549167952,1,19,19,19,19,19
ASH,22.84417549167952,2,8,8,8,8,8
ASH,22.84417549167952,3,4,4,4,4,4
ASH,22.84417549167952,4,1,1,1,1,1
ASH,22.84417549167952,5,3,3,3,3,3
ASH,22.84417549167952,6,2,2,2,2,2
ASH,22.84417549167952,7,2,2,2,2,2
ASH,22.84417549167952,8,2,2,2,2,2
ASH,22.84417549167952,18,2,2,2,2,2
ASH,22.84417549167952,19,2,2,2,2,2
ASH,22.84417549167952,20,14,14,14,14,14
ASH,22.84417549167952,33,2,2,2,2,2
ASH,22.84417549167952,34,4,4,4,4,4
ASH,22.84417549167952,41,2,2,2,2,2
ASH,22.84417549167952,42,2,2,2,2,2
ASH,22.84417549167952,56,2,2,2,2,2
ASH,22.84417549167952,57,2,2,2,2,2
ASH,22.84417549167952,66,4,4,4,4,4
ASH,22.84417549167952,67,2,2,2,2,2
ASH,22.84417549167952,99,4,4,4,4,4
ASH,22.84417549167952,100,22,22,22,22,22
ASH,22.87443267776093,100,2,2,2,2,2
ASH,22.995461422087853,100,2,2,2,2,2
ASH,23.13464447806354,68,2,2,2,2,2
ASH,23.146747352496188,1,21,21,21,21,21
ASH,23.146747352496188,2,8,8,8,8,8
ASH,23.146747352496188,3,2,2,2,2,2
ASH,23.146747352496188,4,2,2,2,2,2
ASH,23.146747352496188,5,8,8,8,8,8
ASH,23.146747352496188,6,6,6,6,6,6
ASH,23.146747352496188,7,4,4,4,4,4
ASH,23.146747352496188,8,2,2,2,2,2
ASH,23.146747352496188,9,2,2,2,2,2
ASH,23.146747352496188,10,12,12,12,12,12
ASH,23.146747352496188,15,6,6,6,6,6
ASH,23.146747352496188,18,2,2,2,2,2
ASH,23.146747352496188,20,4,4,4,4,4
ASH,23.146747352496188,23,2,2,2,2,2
ASH,23.146747352496188,25,2,2,2,2,2
ASH,23.146747352496188,80,2,2,2,2,2
ASH,23.146747352496188,91,2,2,2,2,2
ASH,23.146747352496188,97,2,2,2,2,2
ASH,23.146747352496188,100,10,10,10,10,10
ASH,23.146747352496188,120,2,2,2,2,2
ASH,23.146747352496188,124,2,2,2,2,2
