Symbol,price,size,timestamp
LDOS,38.6,96,1
LDOS,38.6,15,1
LDOS,40.9,10,1
LDOS,39.3,97,1
LDOS,39.5,6,1
LDOS,40.2,16,1
LDOS,40.2,45,1
LDOS,40.2,50,1
LDOS,40.2,56,1
LDOS,40.2,71,1
LDOS,40.2,75,1
LDOS,40.2,80,1
LDOS,40.2,154,1
LDOS,40.2,200,1
LDOS,40.2,266,1
LDOS,40.2,280,1
LDOS,40.2,324,1
LDOS,40.2,1066,1
LDOS,40.2,1220,1
LDOS,40.3,1,1
LDOS,40.4,9,1
LDOS,40.7,1,1
LDOS,40.2,10,1
LDOS,40.2,6,1
LDOS,40.2,5,1
LDOS,40.2,2,1
LDOS,39.5,7,1
LDOS,39.5,25,1
LDOS,39.6,90,1
LDOS,39.7,5,1
LDOS,39.7,19,1
LDOS,39.7,40,1
LDOS,39.7,45,1
LDOS,39.7,348,1
LDOS,39.5,3,1
LDOS,39.7,500,1
LDOS,39.9,4,1
LDOS,39.9,7,1
LDOS,39.9,18,1
LDOS,39.9,28,1
LDOS,39.9,133,1
LDOS,39.9,200,1
LDOS,40.0,100,1
LDOS,40.2,1,1
LDOS,39.8,16,1
NTRS,57.3,100,1
NTRS,57.5,5,1
NTRS,57.5,20,1
NTRS,79.4,6,1
NTRS,79.4,8,1
NTRS,79.4,12,1
NTRS,79.4,14,1
NTRS,79.4,17,1
NTRS,79.4,20,1
NTRS,79.4,21,1
NTRS,79.4,22,1
NTRS,79.4,26,1
NTRS,79.4,53,1
NTRS,79.4,54,1
NTRS,79.4,59,1
NTRS,79.4,74,1
NTRS,79.4,80,1
NTRS,79.4,93,1
NTRS,79.5,12,1
NTRS,79.6,1,1
NTRS,79.3,100,1
NTRS,79.3,20,1
NTRS,79.3,9,1
NTRS,79.3,1,1
NTRS,78.9,63,1
NTRS,78.9,66,1
NTRS,78.9,76,1
NTRS,79.0,200,1
NTRS,79.2,3,1
NTRS,79.2,8,1
NTRS,79.2,18,1
NTRS,79.2,21,1
NTRS,79.6,5,1
NTRS,79.2,37,1
NTRS,79.2,40,1
NTRS,79.2,42,1
NTRS,79.2,59,1
NTRS,79.2,74,1
NTRS,79.2,86,1
NTRS,79.2,96,1
NTRS,79.2,99,1
NTRS,79.2,150,1
NTRS,79.2,39,1
NTRS,78.9,61,1
NTRS,79.7,7,1
NTRS,79.7,9,1
NTRS,80.1,50,1
NTRS,80.2,12,1
NTRS,80.2,33,1
NTRS,80.2,47,1
NTRS,80.3,27,1
NTRS,80.3,100,1
NTRS,80.4,40,1
NTRS,80.5,6,1
NTRS,80.5,9,1
NTRS,80.5,14,1
NTRS,80.5,18,1
NTRS,80.5,24,1
NTRS,80.5,27,1
NTRS,80.5,70,1
NTRS,80.5,96,1
NTRS,80.8,6,1
NTRS,80.8,8,1
NTRS,80.0,46,1
NTRS,80.0,37,1
NTRS,80.0,35,1
NTRS,80.0,28,1
NTRS,79.7,10,1
NTRS,79.7,11,1
NTRS,79.7,15,1
NTRS,79.7,16,1
NTRS,79.7,20,1
NTRS,79.7,31,1
NTRS,79.7,33,1
NTRS,79.7,50,1
NTRS,79.7,8,1
NTRS,79.7,71,1
NTRS,79.8,27,1
NTRS,79.9,1,1
NTRS,80.0,2,1
NTRS,80.0,3,1
NTRS,80.0,6,1
NTRS,80.0,9,1
NTRS,80.0,10,1
NTRS,80.0,25,1
NTRS,79.8,1,1
NTRS,80.8,11,1
NTRS,78.9,58,1
NTRS,78.9,40,1
NTRS,78.0,53,1
NTRS,78.1,6,1
NTRS,78.1,7,1
NTRS,78.1,9,1
NTRS,78.1,10,1
NTRS,78.1,14,1
NTRS,78.1,20,1
NTRS,78.1,24,1
NTRS,78.1,27,1
NTRS,78.1,28,1
NTRS,78.1,44,1
NTRS,78.1,46,1
NTRS,78.1,50,1
NTRS,78.1,60,1
NTRS,78.1,80,1
NTRS,78.1,118,1
NTRS,78.2,5,1
NTRS,78.0,20,1
NTRS,77.8,92,1
NTRS,77.8,83,1
NTRS,77.8,76,1
NTRS,77.6,40,1
NTRS,77.6,49,1
NTRS,77.6,59,1
NTRS,77.6,67,1
NTRS,77.6,71,1
NTRS,77.6,98,1
NTRS,77.7,10,1
NTRS,77.8,2,1
NTRS,78.3,50,1
NTRS,77.8,6,1
NTRS,77.8,8,1
NTRS,77.8,9,1
NTRS,77.8,10,1
NTRS,77.8,33,1
NTRS,77.8,42,1
NTRS,77.8,50,1
NTRS,77.8,52,1
NTRS,77.8,54,1
NTRS,77.8,7,1
NTRS,78.9,50,1
NTRS,78.4,1,1
NTRS,78.4,3,1
NTRS,78.6,100,1
NTRS,78.8,38,1
NTRS,78.8,50,1
NTRS,78.8,100,1
NTRS,78.8,162,1
NTRS,78.9,2,1
NTRS,78.9,3,1
NTRS,78.9,4,1
NTRS,78.9,7,1
NTRS,78.9,9,1
NTRS,78.9,13,1
NTRS,78.9,14,1
NTRS,78.9,15,1
NTRS,78.9,20,1
NTRS,78.9,24,1
NTRS,78.9,29,1
NTRS,78.9,34,1
NTRS,78.6,67,1
NTRS,78.6,50,1
NTRS,78.6,39,1
NTRS,78.6,25,1
NTRS,78.4,7,1
NTRS,78.4,8,1
NTRS,78.4,10,1
NTRS,78.4,17,1
NTRS,78.4,24,1
NTRS,78.4,33,1
NTRS,78.4,38,1
NTRS,78.4,39,1
NTRS,78.4,2,1
NTRS,78.4,42,1
NTRS,78.4,63,1
NTRS,78.4,95,1
NTRS,78.4,162,1
NTRS,78.5,6,1
NTRS,78.6,3,1
NTRS,78.6,8,1
NTRS,78.6,20,1
NTRS,78.6,23,1
NTRS,78.4,50,1
NTRS,77.6,16,1
NTRS,80.8,14,1
NTRS,80.8,50,1
NTRS,83.2,101,1
NTRS,83.3,9,1
NTRS,83.3,100,1
NTRS,83.4,3,1
NTRS,83.4,15,1
NTRS,83.4,18,1
NTRS,83.4,27,1
NTRS,83.4,43,1
NTRS,83.4,50,1
NTRS,83.4,55,1
NTRS,83.4,59,1
NTRS,83.4,60,1
NTRS,83.4,80,1
NTRS,83.4,82,1
NTRS,83.4,91,1
NTRS,83.4,1000,1
NTRS,83.6,1,1
NTRS,83.2,90,1
NTRS,83.2,40,1
NTRS,83.2,21,1
NTRS,83.2,13,1
NTRS,82.6,66,1
NTRS,82.6,200,1
NTRS,82.8,1,1
NTRS,82.8,2,1
NTRS,82.8,100,1
NTRS,82.9,7,1
NTRS,82.9,14,1
NTRS,82.9,34,1
NTRS,83.6,2,1
NTRS,82.9,37,1
NTRS,82.9,43,1
NTRS,82.9,60,1
NTRS,82.9,99,1
NTRS,82.9,200,1
NTRS,83.0,29,1
NTRS,83.1,1,1
NTRS,83.2,1,1
NTRS,83.2,8,1
NTRS,82.9,39,1
NTRS,82.6,50,1
