Symbol,size,p,price,timestamp
ASH,58,"(0, 15]",8.981995153597268,9
ASH,58,"(15, 30]",20.889479270166238,9
ASH,58,"(30, 45]",36.36046214753029,14
ASH,58,"(45, 60]",51.74319697878798,5
ASH,58,"(60, 75]",68.58995132563057,7
ASH,58,"(75, 90]",78.84012539184943,3
ASH,58,"(90, 105]",94.7799385875129,2
ASH,59,"(0, 15]",10.491771159874656,8
ASH,59,"(15, 30]",22.564853704161358,15
ASH,59,"(30, 45]",38.71436684587437,7
ASH,59,"(45, 60]",55.66663083736818,12
ASH,59,"(60, 75]",65.9397062425333,9
ASH,59,"(75, 90]",81.7602025264468,10
ASH,59,"(90, 105]",97.74820880245652,1
ASH,60,"(0, 15]",8.189719961329114,13
ASH,60,"(15, 30]",22.181108213572642,48
ASH,60,"(30, 45]",35.86880614551538,37
ASH,60,"(45, 60]",55.026422770749264,41
ASH,60,"(60, 75]",68.50649425822122,25
ASH,60,"(75, 90]",83.18080190688626,17
ASH,60,"(90, 105]",97.28761514841358,4
ASH,61,"(0, 15]",11.118740434379532,10
ASH,61,"(15, 30]",24.298970362218256,5
ASH,61,"(30, 45]",36.687764508459566,8
ASH,61,"(45, 60]",55.23926713881899,7
ASH,61,"(60, 75]",66.7638001623548,8
ASH,61,"(75, 90]",82.91423749370313,4
ASH,61,"(90, 105]",92.06755373592634,4
ASH,62,"(0, 15]",9.140650317811284,10
ASH,62,"(15, 30]",22.238118131158163,18
ASH,62,"(30, 45]",37.46653703947325,3
ASH,62,"(45, 60]",55.09673681416877,7
ASH,62,"(60, 75]",66.07414632685519,6
ASH,62,"(75, 90]",82.83779274408573,4
ASH,62,"(90, 105]",93.90992835209843,2
ASH,63,"(0, 15]",9.897727852056837,18
ASH,63,"(15, 30]",22.720655002358352,8
ASH,63,"(30, 45]",35.560942428199795,5
ASH,63,"(60, 75]",70.26804593423022,3
ASH,63,"(75, 90]",85.2610030706244,1
ASH,63,"(90, 105]",95.15523712043671,6
ASH,64,"(0, 15]",6.62166927899691,8
ASH,64,"(15, 30]",24.53087683384517,3
ASH,64,"(30, 45]",39.14911298421701,5
ASH,64,"(45, 60]",57.045457219282866,12
ASH,64,"(60, 75]",67.92121160172545,7
ASH,64,"(75, 90]",81.5567135014422,5
ASH,65,"(0, 15]",8.294212445280195,15
ASH,65,"(15, 30]",20.43108375759355,14
ASH,65,"(30, 45]",42.810939105013254,7
ASH,65,"(45, 60]",55.118402462488916,6
ASH,65,"(60, 75]",67.09020106118898,9
ASH,65,"(75, 90]",84.2641387836037,7
ASH,65,"(90, 105]",96.26407369498469,2
ASH,66,"(0, 15]",8.231310742693292,20
ASH,66,"(15, 30]",20.33708068955056,38
ASH,66,"(30, 45]",35.98771750255896,10
ASH,66,"(45, 60]",53.78793761210026,10
ASH,66,"(60, 75]",67.4596954769368,14
ASH,66,"(75, 90]",80.8562453675926,4
ASH,66,"(90, 105]",96.46878198567049,6
ASH,67,"(0, 15]",8.050415566386398,9
ASH,67,"(15, 30]",20.72496116455468,14
ASH,67,"(30, 45]",35.25721922167771,14
ASH,67,"(45, 60]",55.05841958211991,9
ASH,67,"(60, 75]",66.57264556518611,23
ASH,67,"(75, 90]",82.67554343870408,19
ASH,67,"(90, 105]",93.68816103718875,6
ASH,68,"(0, 15]",6.524294670846437,8
ASH,68,"(15, 30]",19.164944752731667,17
ASH,68,"(30, 45]",39.9303628171027,9
ASH,68,"(45, 60]",56.430915993969734,14
ASH,68,"(60, 75]",68.88714733542318,6
ASH,68,"(75, 90]",82.85568065506651,4
ASH,68,"(90, 105]",97.13408393039919,2
ASH,69,"(0, 15]",10.042964530744644,11
ASH,69,"(15, 30]",24.428292739272948,10
ASH,69,"(30, 45]",32.71121371481386,4
ASH,69,"(45, 60]",52.74393602491583,6
ASH,69,"(60, 75]",66.74337345145234,10
ASH,69,"(75, 90]",80.54145342886389,4
ASH,69,"(90, 105]",95.78464687819863,5
ASH,70,"(0, 15]",8.255381400209053,15
ASH,70,"(15, 30]",21.859681771657282,25
ASH,70,"(30, 45]",38.35909528652975,14
ASH,70,"(45, 60]",52.6520136294958,21
ASH,70,"(60, 75]",66.08992244828552,14
ASH,70,"(75, 90]",80.64564039434327,9
ASH,70,"(90, 105]",95.46229955646538,6
ASH,71,"(0, 15]",6.9749216300940375,6
ASH,71,"(15, 30]",23.552549816094242,6
ASH,71,"(30, 45]",34.018122138335386,5
ASH,71,"(45, 60]",52.1928814135782,5
ASH,71,"(60, 75]",65.49094695231705,10
ASH,71,"(75, 90]",79.49965186756206,4
ASH,71,"(90, 105]",93.85875127942688,1
ASH,72,"(0, 15]",7.130779780564335,16
ASH,72,"(15, 30]",24.389930434119226,9
ASH,72,"(30, 45]",37.51279426816804,8
ASH,72,"(45, 60]",54.85851972590057,6
ASH,72,"(60, 75]",67.63919911662825,7
ASH,72,"(75, 90]",80.03289343510984,6
ASH,72,"(90, 105]",99.18116683725708,1
ASH,73,"(0, 15]",10.317287155250034,9
ASH,73,"(15, 30]",25.04735540815387,14
ASH,73,"(30, 45]",38.89457523029691,4
ASH,73,"(45, 60]",54.14534288638705,2
ASH,73,"(60, 75]",66.01706009375509,6
ASH,73,"(75, 90]",81.87208619566641,5
ASH,73,"(90, 105]",96.11054247697037,6
ASH,74,"(0, 15]",11.32292368242746,11
ASH,74,"(15, 30]",22.081371545547725,8
ASH,74,"(30, 45]",32.692603870206014,7
ASH,74,"(45, 60]",54.08028864510702,7
ASH,74,"(60, 75]",68.35114281201881,9
ASH,74,"(75, 90]",81.97492163009399,2
ASH,74,"(90, 105]",94.88229273285569,2
ASH,75,"(0, 15]",8.844193287300751,16
ASH,75,"(15, 30]",22.725675917042985,30
ASH,75,"(30, 45]",37.83918848243146,22
ASH,75,"(45, 60]",54.917593281846145,16
ASH,75,"(60, 75]",65.48790413577056,15
ASH,75,"(75, 90]",78.06143976025386,8
ASH,75,"(90, 105]",95.08700102354146,3
ASH,76,"(0, 15]",8.124891709955998,8
ASH,76,"(15, 30]",20.65824660325783,9
ASH,76,"(30, 45]",36.1191147703343,6
ASH,76,"(45, 60]",55.89878597502224,6
